Okako Adika
Lindsay Allen
Laeticia Amihere
Ariel Atkins
Shakira Austin
Rachel Banham
Kierstan Bell
Grace Berger
Aliyah Boston
Kalani Brown
Leigha Brown
Lexie Brown
Rae Burrell
Veronica Burton
Maya Caldwell
Jordin Canada
Bridget Carleton
DiJonai Carrington
Tina Charles
Layshia Clarendon
Alysha Clark
Natasha Cloud
Nia Clouden
Nia Coffey
Napheesa Collier
Sydney Colson
Zia Cooke
Kahleah Copper
Sophie Cunningham
Crystal Dangerfield
Damiris Dantas
Rennia Davis
Skylar Diggins-Smith
Ivana Dojkić
Queen Egbo
Emily Engstler
Dana Evans
Temi Fagbenle
Dulcy Fankam Mendjiadeu
Leonie Fiebich
Allisha Gray
Chelsea Gray
Megan Gustafson
Tyasha Harris
Isabelle Harrison
Dearica Hamby
Natisha Hiedeman
Naz Hillmon
Myisha Hines-Allen
Joyner Holmes
Jordan Horston
Natasha Howard
Rhyne Howard
Lexie Hull
Sabrina Ionescu
Moriah Jefferson
Haley Jones
Jonquel Jones
Morgan Jones
Dorka Juhász
Sika Koné
Awak Kuier
Betnijah Laney
Lou Lopez Sénéchal
Jewell Loyd
Marina Mabrey
Ezi Magbegor
Stephanie Mawuli
Kayla McBride
Teaira McCowan
Aari McDonald
Jade Melbourne
Diamond Miller
Kelsey Mitchell
Tiffany Mitchell
Olivia Nelson-Ododa
Kia Nurse
Arike Ogunbowale
Michaela Onyenwere
Cheyenne Parker
Kelsey Plum
Aerial Powers
DiDi Richards
Mercedes Russell
Nyara Sabally
Satou Sabally
Karlie Samuelson
Katie Lou Samuelson
Victaria Saxton
Maddy Siegrist
Kadi Sissoko
Alanna Smith
Kianna Smith
NaLyssa Smith
Azurá Stevens
Kiah Stokes
Sug Sutton
Brittney Sykes
Stephanie Talbot
Diana Taurasi
Alyssa Thomas
Kayla Thornton
Brianna Turner
Courtney Vandersloot
Julie Vanloo
Victoria Vivians
Shatori Walker-Kimbrough
Kristy Wallace
Erica Wheeler
Sami Whitcomb
Sydney Wiese
Courtney Williams
Elizabeth Williams
A'ja Wilson
Jackie Young
Li Yueru
